作物代碼,作物名稱,登記分類名稱,病蟲害名稱,農藥中文普通名稱,農藥含量,劑型,每公頃每次用量,稀釋倍數,使用時期,施藥間隔,施用次數,安全採收期_天,施用方法,注意事項,說明,核准日期,廠商名稱
A010101,水稻,水稻,薊馬類,丁基加保扶,3(%) (w/w),GR,67公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,丁基加保扶,5(%) (w/w),GR,40公斤,-,害蟲發生時開始施藥,-,-,29,-,,延伸使用,0980826,
A010101,水稻,水稻,鐵甲蟲,丁基加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,0980826,
A010101,水稻,水稻,鐵甲蟲,丁基加保扶,5(%) (w/w),GR,36公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,丁基滅必蝨,50(%) (w/w),EC,1-1.2公升,1000,分蘗期,,-,15,,,,,
A010101,水稻,水稻,褐飛蝨,丁基滅必蝨,40(%) (w/w),WP,1.2-1.5公斤,800,分蘗期,,-,15,,,,,
A010101,水稻,水稻,黑尾葉蟬,丁基滅必蝨,40(%) (w/w),WP,1.2-1.5公斤,800,分蘗期,,-,15,,,,,
A010101,水稻,水稻,紋枯病,三氟敏,43.7(%) (w/w),SC,每公斤種子加6毫升藥劑與9毫升水,,,,,,,1.使用範圍：水稻紋枯病（水稻種子處理）2.芽長度不超過0.5毫米，即和藥液混拌均勻。3.混拌藥液之稻種，靜置陰涼處10-15分鐘，使藥液完全附著於稻種。4.藥劑與水混合後再拌種。,,1000915,台灣拜耳股份有限公司
A010101,水稻,水稻,紋枯病,三氟敏,500 g/L (50% w/v),SC,每公斤種子加6毫升藥劑與9毫升水,,,,,,,1.使用範圍：水稻紋枯病（水稻種子處理）2.芽長度不超過0.5毫米，即和藥液混拌均勻。3.混拌藥液之稻種，靜置陰涼處10-15分鐘，使藥液完全附著於稻種。4.藥劑與水混合後再拌種。,,1000915,台灣拜耳股份有限公司
A010101,水稻,水稻,葉稻熱病,三賽唑,3(%) (w/w),GR,50克/平方公尺,,插秧前1天無露水時施藥,,,-,均勻撒佈後以竹竿輕掃秧田，使藥粒脫落土面。,防治水田秧苗葉稻熱病，撒藥前秧田應保持濕潤。,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,41.7(%) (w/w),SC,0.67公升,1500,插秧後30-35天施藥,20,2,25,,視發病情形再隔二十天再施藥一次,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WG,0.33公斤,3000,插秧後30-45天施藥,-,2,25,,,變更安全劑型,1140219,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WG,0.33公斤,60,插秧後30天至45天葉稻熱病初發生時施藥一次，7至10天後再施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1140219,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WP,0.33公斤,3000,插秧後30-45天施藥,,2,25,,,,,
A010101,水稻,水稻,葉稻熱病,三賽唑,75(%) (w/w),WP,0.33公斤,60,插秧後30天至45天葉稻熱病初發生時施藥一次，7至10天後再施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1090401,
A010101,水稻,水稻,稻熱病,三賽唑,8(%) (w/w),GR,40克/箱,,插秧前1天無露水時施藥,,,-,均勻撒佈後以掃把輕掃秧苗，使藥劑掉落地面再以澆水器灑水每箱約150公撮。,限育苗箱秧苗使用。,,,
A010101,水稻,水稻,稻熱病,三賽唑,75(%) (w/w),WG,2克/箱,,插秧前1天施藥,-,-,-,稀釋水量200-500公撮，以澆水器均勻灑在育苗箱。,限育苗箱秧苗使用。防治葉稻熱病。,變更安全劑型,1140219,
A010101,水稻,水稻,稻熱病,三賽唑,75(%) (w/w),WG,葉:0.33公斤;穗:0.4公斤,30L/公頃水量,抽穗前7天施藥1次即可,-,-,25,使用共力牌動力噴霧機第1段速度，於清晨無風時噴撒,稻熱病低容量劑防治，葉稻熱病之施藥時間及次數按照一般方法。穗稻熱病於抽穗前7天施藥1次即可。,變更安全劑型,1140219,
A010101,水稻,水稻,稻熱病,三賽唑,75(%) (w/w),WP,2克/箱,,插秧前1天施藥,,,-,稀釋水量200-500公撮，以澆水器均勻灑在育苗箱。,限育苗箱秧苗使用。防治葉稻熱病。,,,
A010101,水稻,水稻,稻熱病,三賽唑,75(%) (w/w),WP,葉:0.33公斤;穗:0.4公斤,30L/公頃水量,抽穗前7天施藥1次即可,,,25,使用共力牌動力噴霧機第1段速度，於清晨無風時噴撒,稻熱病低容量劑防治，葉稻熱病之施藥時間及次數按照一般方法。穗稻熱病於抽穗前7天施藥1次即可。,,,
A010101,水稻,水稻,穗稻熱病,三賽唑,41.7(%) (w/w),SC,0.8公升,1500,抽穗前2天施藥,,,25,,,,,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WG,0.4公斤,3000,抽穗前5天及齊穗期施藥,-,-,25,,,變更安全劑型,1140219,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WG,0.4公斤,50,抽穗前5-7天及齊穗期各施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1140219,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WG,0.4公斤,加水至15公升,孕穗期前2天施藥,-,-,25,,穗稻熱病空中施藥，落藥標準在八平方公分應有直徑1000微米以下之落藥點112點以上。,變更安全劑型,1140219,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WP,0.4公斤,3000,抽穗前5天及齊穗期施藥,,,25,,,,,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WP,0.4公斤,50,抽穗前5-7天及齊穗期各施藥一次。,,2,25,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1090401,
A010101,水稻,水稻,穗稻熱病,三賽唑,75(%) (w/w),WP,0.4公斤,加水至15公升,孕穗期前2天施藥,,,25,,穗稻熱病空中施藥，落藥標準在八平方公分應有直徑1000微米以下之落藥點112點以上。,,,
A010101,水稻,水稻,褐飛蝨,大利松,10(%) (w/w),GR,18公斤,,生長初期,-,-,-,,,,,
A010101,水稻,水稻,黑尾葉蟬,大利松,10(%) (w/w),GR,18公斤,,生長初期,-,-,-,,,,,
A010101,水稻,水稻,二化螟蟲,大利松,5(%) (w/w),GR,30公斤,,秧田至孕穗期,-,-,-,,孕穗至齊穗期每頃用藥量亦用30KG,,,
A010101,水稻,水稻,葉稻熱病,丙基喜樂松,48(%) (w/w),EC,1公升,1000,插秧後施藥,-,-,-,插秧後35-50天施用一次，隔一週後再一次，再於抽穗前7天左右及齊穗期各施用一次。,,,,
A010101,水稻,水稻,葉稻熱病,丙基喜樂松,48(%) (w/w),EC,1公升,20,插秧後30天至45天葉稻熱病初發生時施藥一次，7至10天後再施藥一次。,,2,,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1090401,
A010101,水稻,水稻,葉稻熱病,丙基喜樂松,17(%) (w/w),GR,60公斤,,插秧後施藥,-,2,-,,,,,
A010101,水稻,水稻,穗稻熱病,丙基喜樂松,48(%) (w/w),EC,1.2公升,1000,抽穗前齊穗施藥,-,-,-,插秧後35-50天施用一次，隔一週後再一次，再於抽穗前7天左右及齊穗期各施用一次。,,,,
A010101,水稻,水稻,穗稻熱病,丙基喜樂松,48(%) (w/w),EC,1.2公升,16.7,抽穗前5-7天及齊穗期各施藥一次。,,2,,1.適用於無人飛行載具。2.藥滴體積中值粒徑（VMD，Volume Media Diameter）應大於145微米，且植株上藥滴覆蓋率須達每平方公分50滴以上。,1.風速大於每秒3公尺時，請勿噴施。2.為防制飄散並避免鄰田污染應設置適當緩衝區。3.操作者應站於上風處，並保持適當操作距離。4.無人飛行載具飛行參數請參閱防檢署農藥資訊服務相關網站。,無人機施藥,1090401,
A010101,水稻,水稻,穗稻熱病,丙基喜樂松,17(%) (w/w),GR,60公斤,,插秧後施藥,-,2,-,,,,,
A010101,水稻,水稻,稻蝨類,加保利,39.5(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,加保利,40(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,加保利,44.1(%) (w/w),SC,0.9-1.3公升,900,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,加保利,50(%) (w/w),WP,0.85-1.2公斤,1000,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,稻蝨類,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,-,-,21,-,,延伸使用,0980826,
A010101,水稻,水稻,薊馬類,加保利,39.5(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,加保利,40(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,加保利,44.1(%) (w/w),SC,0.9-1.3公升,900,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,加保利,50(%) (w/w),WP,0.85-1.2公斤,1000,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,薊馬類,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,-,-,21,-,,延伸使用,0980826,
A010101,水稻,水稻,褐飛蝨,加保利,39.5(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,7-10,-,21,,,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,加保利,40(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,7-10,-,21,,,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,加保利,44.1(%) (w/w),SC,0.9-1.3公升,900,害蟲發生時開始施藥,7-10,-,21,,,延伸使用,1070214,
A010101,水稻,水稻,褐飛蝨,加保利,50(%) (w/w),WP,0.8-1.2公斤,250,,-,-,21,動力微粒噴霧機噴藥,,,0620727,
A010101,水稻,水稻,褐飛蝨,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,7-10,-,21,,,,,
A010101,水稻,水稻,黑椿象,加保利,39.5(%) (w/w),SC,2.1-2.6公升,400,害蟲發生時開始施藥,,,21,,,延伸使用,1070214,
A010101,水稻,水稻,黑椿象,加保利,40(%) (w/w),SC,2.1-2.6公升,400,害蟲發生時開始施藥,,,21,,,延伸使用,1070214,
A010101,水稻,水稻,黑椿象,加保利,44.1(%) (w/w),SC,1.9-2.3公升,450,害蟲發生時開始施藥,,,21,,,延伸使用,1070214,
A010101,水稻,水稻,黑椿象,加保利,50(%) (w/w),WP,2-2.4公斤,500,害蟲發生時開始施藥,-,-,21,,,,,
A010101,水稻,水稻,黑椿象,加保利,85(%) (w/w),WP,1-1.2公斤,850,害蟲發生時開始施藥,,,21,,,,,
A010101,水稻,水稻,椿象類,加保利,39.5(%) (w/w),SC,1.2-1.7公升,700,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,椿象類,加保利,40(%) (w/w),SC,1.2-1.7公升,700,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,椿象類,加保利,44.1(%) (w/w),SC,1-1.5公升,800,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
